medcode,readcode,clinicalevents,immunisationevents,referralevents,testevents,readterm,databaserelease
96133,7B00400,10,0,0,0,"Allotransplantation kidney from cadaver, heart non-beating",April 2009
7804,K02..00,2941,0,81,0,Chronic glomerulonephritis,February 2009
67995,K032000,19,0,0,0,Focal membranoproliferative glomerulonephritis,February 2009
60857,K0A3700,26,0,0,0,Chronic nephritic syn diffuse crescentic glomerulonephritis,February 2009
10809,K021.00,520,0,9,0,Chronic membranous glomerulonephritis,February 2009
61930,Kyu2.00,554,0,16,0,[X]Renal failure,February 2009
65064,K023.00,4,0,0,0,Chronic rapidly progressive glomerulonephritis,February 2009
70157,Kyu4.00,36,0,0,0,[X]Other disorders of kidney and ureter,February 2009
68112,C373600,10,0,0,0,Nephropathic amyloidosis,February 2009
52969,C341.00,102,0,2,0,Gouty nephropathy,February 2009
66505,K0A3000,7,0,0,0,"Chronic nephritic syndrome, minor glomerular abnormality",February 2009
24292,SP15412,159,0,2,0,Post operative renal failure,February 2009
58060,K0A1300,1,0,0,0,Rpd prog neph syn df mesangial prolifratv glomerulonephritis,February 2009
47672,K01x400,96,0,3,0,Nephrotic syndrome in systemic lupus erythematosus,February 2009
10837,K040.00,672,0,6,0,Acute renal tubular necrosis,February 2009
28158,TB11.00,24,0,0,0,"Kidney dialysis with complication, without blame",February 2009
59031,PD1yz00,8,0,0,0,Other congenital cystic kidney disease NOS,February 2009
46242,K041.00,21,0,0,0,Acute renal cortical necrosis,February 2009
60446,Z919.00,28,0,0,0,Care of haemodialysis equipment,February 2009
72004,7B01511,7,0,0,0,Excision of rejected transplanted kidney,February 2009
59018,PD1y.00,6,0,0,0,Other specified congenital cystic kidney disease,February 2009
1899,K10y000,44237,0,2877,23,Pyelonephritis unspecified,February 2009
33580,K03..00,888,0,18,0,Nephritis and nephropathy unspecified,February 2009
45160,ZV56y11,7,0,0,0,[V]Aftercare involving peritoneal dialysis,February 2009
45523,K0B..00,47,0,1,0,Renal tubulo-interstitial disorders in diseases EC,February 2009
55100,K00y300,68,0,0,0,Acute diffuse nephritis,February 2009
9959,14D..12,4070,0,539,0,H/O: renal disease,February 2009
20073,7L1A000,2338,0,24,0,Renal dialysis,February 2009
49046,A844100,4,0,0,0,Plasmodium malariae malaria with nephropathy,February 2009
70874,7B00y00,19,0,0,0,Other specified transplantation of kidney,February 2009
22205,K01x411,1090,0,10,0,Lupus nephritis,February 2009
71314,L093.00,23,0,0,0,Renal failure following abortive pregnancy,February 2009
30756,7L1A500,225,0,1,0,Continuous ambulatory peritoneal dialysis,February 2009
64636,7L1Az00,5,0,0,0,Compensation for renal failure NOS,February 2009
49642,K0A2300,13,0,0,0,Recur+persist haemuria df mesangial prolif glomerulnephritis,February 2009
50331,PD1z.00,50,0,1,0,Congenital cystic kidney disease NOS,February 2009
11773,7L1A.11,4617,0,44,0,Dialysis for renal failure,February 2009
61317,K0A2200,6,0,0,0,Recur+persist haematuria difus membranous glomerulonephritis,February 2009
